id,Peso,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
E16-2012-08-27,25.7,NA,NA,NA,NA,NA,9
B12-2017-10-15,74.4,32.0,163.0,15.0,53.0,71.0,63
D3-2012-10-18,90.1,32.5,149.0,15.2,54.0,74.0,67
E16-2013-11-02,78.6,31.5,143.0,14.6,55.0,77.0,78
D13-2014-10-04,74.5,NA,NA,NA,NA,NA,47
A11-2012-10-08,87.1,32.7,112.0,15.6,38.0,43.0,61
E16-2013-11-05,74.0,31.5,151.0,14.6,57.0,80.0,81
B5-2015-10-06,55.3,32.3,100.0,14.2,35.0,39.0,53
D13-2014-10-07,NA,NA,NA,NA,NA,NA,50
D5-2014-10-23,53.7,NA,NA,NA,NA,NA,61
D9-2014-09-16,73.4,32.3,101.0,16.2,NA,NA,53
D5-2014-11-18,61.9,32.5,168.0,15.3,57.5,82.5,87
B5-2014-08-29,31.3,NA,NA,NA,NA,NA,12
D8-2017-09-20,89.3,35.4,87.0,15.8,NA,NA,47
D7-2015-10-23,77.8,32.9,173.0,15.2,57.0,80.0,75
C7-2014-08-29,77.7,32.3,67.0,14.6,18.0,18.0,39
A6-2014-09-25,51.0,29.3,64.5,14.2,15.0,15.0,45
F19-2013-10-06,83.0,31.5,172.0,14.4,60.0,90.0,76
H6-2013-09-07,67.9,29.2,48.0,13.2,NA,NA,31
D11-2013-10-15,64.5,32.4,153.0,15.2,55.0,71.0,68
A11-2017-10-12,82.6,31.7,161.0,15.2,55.0,70.0,70
D13-2012-10-27,79.8,31.3,166.0,14.9,57.0,82.0,72
B8-2016-09-26,80.7,31.8,95.0,14.5,36.0,36.0,49
D13-2014-10-15,59.4,31.7,114.5,14.9,42.0,49.0,58
A11-2012-09-05,49.3,24.3,28.0,12.1,NA,NA,28
D10-2015-11-20,88.8,31.5,165.0,15.8,60.0,85.0,76
C7-2014-09-04,73.1,33.0,80.5,14.8,24.0,28.5,45
C3-2013-09-06,64.2,30.6,74.0,13.7,19.0,22.0,43
C2-2014-09-21,49.1,NA,NA,NA,NA,NA,35
F7-2017-09-12,83.4,31.9,75.0,15.0,NA,NA,41
B12-2015-09-24,80.6,32.5,100.5,14.9,36.0,39.0,48
A3-2012-10-15,87.9,31.9,127.0,14.6,50.0,56.0,58
D6-2014-09-28,85.6,NA,NA,NA,NA,NA,42
C5-2017-10-18,65.4,31.6,178.0,15.0,60.0,86.0,72
A3-2012-08-20,12.4,NA,NA,NA,NA,NA,2
E16-2012-10-25,70.5,NA,NA,NA,NA,NA,68
B12-2012-10-09,83.8,30.3,100.0,14.9,35.0,45.0,49
C11-2014-09-16,73.6,31.5,57.5,13.7,7.0,7.0,36
F17-2014-10-26,68.3,32.8,170.0,15.0,54.0,76.0,79
A4-2012-09-05,65.5,30.7,60.0,14.0,NA,NA,35
F12-2014-09-02,35.5,20.8,20.0,12.5,NA,NA,18
A3-2012-09-22,68.5,NA,NA,NA,NA,NA,35
G11-2015-10-26,73.2,31.3,161.0,15.2,59.0,80.0,67
G11-2015-10-01,76.9,30.7,74.0,14.6,25.0,27.0,42
B12-2012-10-02,83.1,30.2,75.0,14.4,22.0,25.0,42
H5-2014-09-17,61.8,29.7,51.5,14.2,8.0,8.0,37
F10-2014-09-05,39.5,24.6,29.0,12.8,NA,NA,23
E17-2012-10-03,55.7,NA,NA,NA,NA,NA,41
B12-2012-10-20,87.7,30.5,140.0,15.0,54.0,69.0,60
G6-2017-10-03,73.3,32.2,150.0,15.5,52.0,68.0,61
D4-2015-09-23,55.1,23.8,27.0,12.5,NA,NA,24
G7-2015-10-05,91.3,33.1,106.0,15.5,39.0,38.0,52
G11-2014-09-02,76.5,24.3,94.0,15.6,33.0,38.0,50
E15-2016-09-27,68.1,31.7,84.0,14.1,35.0,32.0,50
B12-2015-10-24,66.9,32.2,182.0,15.2,60.0,87.0,78
B13-2014-10-30,96.3,NA,NA,NA,NA,NA,63
B13-2012-10-27,109.0,NA,NA,NA,NA,NA,66
A3-2012-08-30,34.7,NA,NA,NA,NA,NA,12
G7-2015-10-16,100.0,33.0,147.0,15.7,56.0,63.0,63
F17-2014-10-05,58.7,32.5,110.0,15.3,43.0,49.0,58
G8-2015-09-25,65.4,31.4,81.0,14.6,30.0,32.0,44
D2-2012-11-11,43.3,31.6,129.0,15.0,47.0,58.0,90
F10-2017-09-30,72.8,29.7,50.0,12.8,NA,NA,30
F6-2012-09-13,49.2,NA,NA,NA,NA,NA,21
E16-2015-10-24,100.2,32.8,123.0,15.9,47.0,50.0,56
FD-2012-08-28,61.7,27.0,32.0,12.0,NA,NA,24
D4-2012-10-06,83.3,32.5,152.0,15.2,54.0,70.0,65
G9-2014-09-14,26.4,23.7,25.0,12.6,NA,NA,33
E16-2013-09-30,41.6,31.2,66.0,13.0,14.0,19.0,45
F6-2012-10-07,75.3,NA,NA,NA,NA,NA,45
C11-2015-11-10,61.2,31.3,73.0,14.6,23.0,25.0,64
G12-2015-09-28,77.9,33.3,145.0,15.2,54.0,62.0,64
F17-2015-10-16,83.3,32.7,155.0,15.2,55.0,69.0,68
H3-2015-10-07,76.5,32.2,148.0,15.8,52.0,63.0,65
C6-2017-10-03,79.5,34.2,89.0,15.9,35.0,36.0,47
B6-2012-08-25,9.8,12.3,14.0,8.1,NA,NA,1
A9-2015-10-24,67.9,31.5,161.0,15.9,55.0,73.0,74
FA-2012-11-11,84.6,NA,NA,NA,NA,NA,76
C3-2012-08-24,60.6,25.8,34.0,12.3,NA,NA,25
E14-2016-10-30,77.4,33.4,169.0,15.5,60.0,78.0,75
G11-2015-10-22,77.0,30.8,153.0,15.2,56.0,73.0,63
B12-2012-10-07,78.5,NA,NA,NA,NA,NA,47
G8-2017-09-30,75.5,31.9,122.0,15.0,45.0,56.0,52
A9-2017-10-21,72.5,32.1,135.0,16.0,52.0,62.0,58
C6-2012-09-23,77.2,31.9,74.0,15.0,15.0,24.0,42
A11-2017-09-12,70.2,31.5,64.0,14.6,NA,NA,40
B12-2015-09-06,68.5,28.89,46.5,13.77,NA,NA,30
A4-2012-08-27,62.4,27.7,31.0,13.1,NA,NA,26
D11-2015-10-24,77.7,33.3,163.0,15.8,57.0,79.0,76
F17-2015-09-25,71.4,32.8,84.0,14.3,31.0,29.0,47
B13-2012-09-09,55.7,NA,NA,NA,NA,NA,18
FD-2012-09-24,87.7,34.0,107.0,15.2,36.0,41.0,51
D9-2015-09-21,59.0,33.2,73.0,14.7,15.0,18.0,46
D6-2012-08-31,36.0,18.4,17.0,10.5,NA,NA,13
B5-2015-09-15,60.3,29.3,46.0,13.0,6.0,6.0,32
G12-2013-09-27,84.7,32.8,101.0,13.8,36.0,42.0,58
C8-2014-08-30,27.2,NA,NA,NA,NA,NA,12
B12-2012-09-01,33.2,NA,NA,NA,NA,NA,11
C3-2012-09-08,74.2,31.0,72.0,14.0,22.0,22.0,40
C6-2017-10-15,82.1,33.1,133.0,15.7,56.0,65.0,59
D6-2014-09-20,61.9,30.0,41.0,13.7,NA,NA,34
C6-2017-09-12,68.4,27.6,36.0,14.1,NA,NA,26
C1-2012-08-24,64.2,26.4,35.0,12.0,NA,NA,25
E22-2013-10-27,45.0,33.5,110.0,14.6,46.0,54.0,66
D5-2014-09-08,NA,NA,NA,NA,NA,NA,16
B12-2012-08-28,22.1,NA,NA,NA,NA,NA,7
E14-2014-11-10,72.0,NA,NA,NA,NA,NA,76
B12-2012-09-02,39.6,17.1,18.0,10.5,NA,NA,12
E11-2012-09-09,64.6,29.3,52.0,14.4,NA,NA,29
D5-2016-10-27,77.1,32.3,157.0,14.1,64.0,83.0,67
F19-2015-09-04,55.8,24.43,27.0,11.92,NA,NA,20
D11-2015-09-24,58.9,32.9,72.5,15.1,20.0,20.0,46
E22-2013-10-15,54.3,33.5,100.0,14.7,32.0,41.0,54
G6-2017-10-09,76.1,32.8,173.0,16.0,64.0,85.0,67
D13-2014-08-19,10.4,12.4,8.0,9.1,NA,NA,1
D13-2014-09-26,57.5,NA,NA,NA,NA,NA,39
D6-2014-08-27,26.0,16.7,14.0,10.9,NA,NA,10
D6-2014-10-06,NA,NA,NA,NA,NA,NA,50
E16-2014-08-29,35.8,24.6,27.0,12.5,NA,NA,23
D13-2014-08-21,10.7,NA,NA,NA,NA,NA,3
F7-2017-10-03,85.2,33.0,146.0,13.9,57.0,70.0,62
D5-2012-10-17,NA,NA,NA,NA,NA,NA,58
F17-2013-10-09,63.5,33.3,170.0,14.7,55.0,82.0,77
H5-2014-10-20,80.0,31.9,152.0,15.5,52.0,72.5,70
H4-2017-09-11,75.3,32.3,94.0,15.3,37.0,38.0,51
B12-2012-09-17,68.1,26.4,41.0,12.6,NA,NA,27
H5-2017-10-21,73.6,33.0,173.0,15.9,57.0,83.0,74
D1-2016-10-24,70.0,32.1,169.0,13.6,57.0,81.0,71
B5-2014-10-13,76.6,NA,NA,NA,NA,NA,57
B12-2014-09-27,79.6,31.6,125.0,15.8,49.0,60.0,54
B9-2014-09-03,48.2,24.4,27.0,12.4,NA,NA,23
B12-2012-10-01,81.9,NA,NA,NA,NA,NA,41
C7-2015-09-14,58.8,29.1,44.0,15.0,NA,NA,32
D9-2015-10-23,80.9,33.1,172.0,15.7,58.0,81.0,78
E23-2013-10-15,49.9,31.9,79.0,14.5,31.0,36.0,48
E14-2012-11-02,73.8,NA,NA,NA,NA,NA,75
FZ-2013-10-03,72.5,33.0,111.0,15.5,42.0,59.0,56
D4-2014-09-22,74.0,32.7,129.5,15.7,51.0,60.0,58
H2-2013-09-10,29.2,20.4,22.0,11.5,NA,NA,18
E17-2012-10-27,78.0,NA,NA,NA,NA,NA,65
H9-2014-09-27,65.5,NA,NA,NA,NA,NA,38
E15-2016-10-24,71.1,32.7,170.0,13.7,54.0,84.0,77
C6-2017-10-12,74.2,33.4,121.0,16.1,52.0,58.0,56
B13-2014-10-10,75.7,32.9,71.5,15.0,23.0,19.0,43
A4-2015-09-15,69.9,31.5,62.5,14.7,21.0,13.0,39
H9-2013-10-31,82.0,32.2,164.0,15.9,57.0,80.0,75
F9-2014-09-03,46.8,NA,NA,NA,NA,NA,16
B5-2014-10-26,95.1,31.9,142.0,15.0,53.0,65.5,70
G12-2017-08-26,64.5,28.4,40.0,12.6,NA,NA,29
E14-2014-09-21,57.1,NA,NA,NA,NA,NA,26
B6-2012-11-04,79.4,NA,NA,NA,NA,NA,72
G12-2014-09-02,75.2,31.2,47.5,13.7,NA,NA,30
B5-2015-10-24,85.1,32.5,158.0,15.4,53.0,73.0,71
F7-2017-10-12,77.5,32.8,171.0,14.9,62.0,87.0,71
A9-2015-10-31,63.7,31.8,174.0,16.2,56.0,82.0,81
D5-2014-11-11,50.0,NA,NA,NA,NA,NA,80
F7-2017-10-06,83.9,33.1,159.0,15.2,61.0,77.0,65
E16-2012-10-30,80.5,30.9,171.0,15.1,59.0,87.0,73
D13-2012-10-09,89.6,31.2,110.0,14.8,40.0,47.0,54
A7-2012-10-14,73.0,33.4,160.0,15.0,57.0,80.0,72
G7-2015-10-10,92.5,33.0,128.0,15.2,48.0,54.0,57
H6-2013-10-01,86.0,31.0,107.0,15.2,43.0,45.0,55
F17-2017-08-31,41.9,22.2,22.0,10.7,NA,NA,16
FD-2015-11-14,74.0,33.2,171.0,15.4,57.0,81.0,73
C7-2014-08-20,71.0,30.0,44.0,13.5,NA,NA,30
F17-2015-09-16,53.6,31.5,62.5,13.9,22.0,16.0,38
C5-2017-08-25,52.2,22.1,26.0,13.2,NA,NA,18
G9-2014-10-11,56.3,31.4,86.0,15.0,22.0,22.5,60
G9-2014-09-20,48.5,26.4,30.0,12.9,NA,NA,39
D13-2012-10-15,91.8,31.3,128.0,14.8,50.0,60.0,60
E14-2014-11-01,84.7,NA,NA,NA,NA,NA,67
D5-2012-09-22,61.0,NA,NA,NA,NA,NA,33
C6-2012-10-29,65.9,32.4,173.0,15.4,56.0,89.0,78
E17-2012-10-12,65.7,NA,NA,NA,NA,NA,50
D10-2015-10-12,81.7,30.3,59.0,14.5,17.0,16.0,37
H5-2017-10-18,81.6,33.0,170.0,15.5,60.0,84.0,71
A11-2017-09-24,79.3,33.1,92.0,15.6,37.0,41.0,52
H9-2014-10-26,100.7,34.9,138.0,16.2,49.5,59.0,67
B13-2012-08-31,26.6,NA,NA,NA,NA,NA,9
F6-2013-09-24,79.9,31.9,71.0,15.1,25.0,24.0,42
F7-2017-09-28,82.8,32.5,129.0,14.5,50.0,59.0,57
C2-2014-09-08,NA,NA,NA,NA,NA,NA,22
C9-2012-10-14,86.8,32.5,175.0,15.7,59.0,83.0,70
FZ-2014-08-24,56.7,24.5,27.0,12.8,NA,NA,18
A6-2014-08-19,20.6,14.9,14.0,9.8,NA,NA,8
A2-2012-10-20,73.0,31.7,175.0,15.1,59.0,90.0,75
B5-2014-09-14,43.2,26.9,31.5,12.1,NA,NA,28
G9-2017-10-24,77.0,31.8,174.0,15.0,61.0,82.0,71
F6-2012-08-28,9.5,12.6,11.0,8.3,NA,NA,5
H9-2014-08-28,NA,NA,NA,NA,NA,NA,8
G12-2015-09-19,87.9,33.3,109.0,15.9,40.0,44.0,55
E17-2012-10-21,75.5,NA,NA,NA,NA,NA,59
E16-2013-09-06,48.5,25.0,28.0,12.8,NA,NA,21
E22-2017-09-23,81.0,34.6,86.0,15.1,NA,NA,47
H9-2014-09-14,45.1,25.7,30.0,13.5,NA,NA,25
D6-2012-10-18,100.9,33.0,133.0,15.0,50.0,61.0,61
A9-2014-08-30,NA,NA,NA,NA,NA,NA,10
D1-2015-09-08,45.3,20.21,24.0,11.4,NA,NA,15
H4-2013-10-06,84.3,31.6,98.0,15.6,36.0,45.0,51
F16-2013-09-24,68.5,31.5,92.0,15.0,38.0,41.0,52
A3-2012-08-26,21.7,NA,NA,NA,NA,NA,8
D6-2015-10-17,90.6,33.5,124.0,15.0,44.0,55.0,61
B12-2012-08-29,25.8,NA,NA,NA,NA,NA,8
A2-2014-09-09,59.0,34.0,95.5,15.6,37.0,41.0,57
C7-2017-08-28,72.3,30.6,45.0,13.9,NA,NA,33
FZ-2012-10-19,82.1,33.0,143.0,15.5,56.0,67.0,64
E7-2015-09-30,75.5,32.0,71.0,14.6,28.0,26.0,38
B13-2014-10-29,100.3,NA,NA,NA,NA,NA,62
A7-2014-08-25,58.5,29.2,42.5,13.2,NA,NA,29
D8-2017-09-14,70.5,34.2,69.0,15.3,NA,NA,41
E14-2015-10-06,75.5,34.6,102.0,15.2,40.0,44.0,54
B13-2014-10-01,80.5,31.2,52.0,14.4,5.0,5.0,34
E14-2015-09-18,76.5,32.7,57.0,14.1,11.0,9.0,36
D8-2017-09-26,99.9,35.1,109.0,15.6,45.0,47.0,53
D6-2012-10-30,75.8,33.0,170.0,15.0,57.0,84.0,73
E16-2012-08-19,11.6,12.0,13.0,8.6,NA,NA,1
G12-2017-09-23,82.3,33.4,121.0,15.2,47.0,54.0,57
D13-2014-09-18,51.5,27.2,43.0,13.2,NA,NA,31
F10-2017-09-24,59.8,26.0,34.0,12.7,NA,NA,24
FZ-2013-09-15,73.6,32.5,57.0,14.2,10.0,10.0,38
C1-2012-08-21,54.9,24.9,31.0,12.3,NA,NA,22
A10-2012-09-20,70.6,31.2,70.0,14.4,10.0,10.0,43
C9-2012-09-20,87.0,32.5,103.0,15.9,30.0,35.0,46
E17-2012-10-24,77.0,NA,NA,NA,NA,NA,62
FD-2014-08-24,49.7,24.8,27.0,12.2,NA,NA,19
A9-2014-10-31,76.2,NA,NA,NA,NA,NA,72
A9-2015-10-09,56.6,31.6,114.0,15.9,38.0,46.0,59
A9-2014-10-06,NA,NA,NA,NA,NA,NA,47
D1-2015-10-02,76.8,32.5,64.5,15.0,18.0,17.0,39
FA-2012-10-27,83.0,NA,NA,NA,NA,NA,61
FA-2012-09-27,60.6,NA,NA,NA,NA,NA,31
F17-2014-10-20,61.0,32.1,154.0,14.9,54.0,72.0,73
F14-2014-09-14,65.2,33.1,122.0,15.7,44.0,48.5,53
B12-2012-09-08,53.1,21.6,24.0,11.6,NA,NA,18
F11-2017-10-06,69.7,32.3,133.0,15.4,53.0,63.0,56
D6-2012-09-13,70.1,NA,NA,NA,NA,NA,26
B12-2014-09-30,84.9,31.9,137.0,15.9,54.0,64.0,57
B13-2012-09-06,49.1,NA,NA,NA,NA,NA,15
D5-2012-10-16,NA,NA,NA,NA,NA,NA,57
E16-2015-10-03,59.2,31.5,59.5,14.9,16.0,10.0,35
D13-2014-10-12,63.8,31.9,104.0,15.2,40.0,45.0,55
B12-2017-09-24,69.4,32.5,89.0,14.6,NA,NA,42
F6-2013-10-12,69.3,32.4,125.0,15.2,51.0,60.0,60
E23-2013-10-22,38.8,32.0,88.0,14.4,34.0,48.0,55
A3-2012-10-30,69.3,32.0,170.0,14.5,59.0,88.0,73
A11-2017-08-28,51.7,26.1,30.1,12.3,NA,NA,25
F6-2015-10-06,64.7,29.1,47.0,14.1,NA,NA,36
D6-2014-09-27,92.4,NA,NA,NA,NA,NA,41
F6-2017-09-18,58.8,28.5,47.0,14.4,NA,NA,31
A4-2012-09-29,83.5,32.0,126.0,15.4,48.0,53.0,59
F17-2017-09-24,78.0,31.7,69.0,14.0,NA,NA,40
FC-2013-09-27,112.0,33.4,111.5,14.4,44.0,50.0,58
A3-2012-09-05,45.1,NA,NA,NA,NA,NA,18
B13-2013-09-24,81.9,33.3,76.0,14.6,27.0,29.0,41
C8-2014-09-15,54.1,27.4,34.0,13.3,NA,NA,28
A4-2015-10-18,81.4,32.2,159.5,15.8,57.0,76.0,72
D13-2012-10-24,82.0,31.3,159.0,14.8,57.0,78.0,69
B12-2016-10-26,80.9,31.5,158.0,13.6,55.0,78.0,64
C1-2012-09-29,89.1,32.0,139.0,15.0,50.0,61.0,61
F6-2017-10-12,80.6,33.1,109.0,16.5,42.0,46.0,55
C11-2015-11-03,55.5,30.8,59.0,14.4,15.0,12.0,57
F19-2014-10-11,66.3,31.7,170.0,14.7,59.0,83.0,73
C2-2014-09-07,NA,NA,NA,NA,NA,NA,21
C2-2012-09-19,82.4,32.0,68.0,13.5,12.0,12.0,34
B13-2012-09-05,50.7,20.2,19.0,11.1,NA,NA,14
G13-2014-10-11,58.3,31.7,147.0,15.5,52.0,69.0,63
H9-2014-08-25,14.5,NA,NA,NA,NA,NA,5
B6-2012-09-05,35.5,NA,NA,NA,NA,NA,12
D5-2014-09-06,NA,NA,NA,NA,NA,NA,14
B13-2017-09-12,73.3,28.6,37.0,13.8,NA,NA,25
G8-2016-09-27,84.1,31.1,99.0,14.4,35.0,41.0,50
C4-2012-10-02,70.5,33.0,153.0,15.3,55.0,68.0,65
FC-2013-09-21,80.7,33.4,93.0,14.5,34.0,37.0,52
H5-2014-10-02,82.1,31.8,85.5,15.8,29.0,34.0,52
H2-2013-09-28,34.2,23.9,41.0,12.5,5.0,5.0,36
FA-2012-11-01,89.1,NA,NA,NA,NA,NA,66
G2-2015-10-29,60.4,31.2,158.0,15.8,59.0,84.0,76
D11-2015-09-10,62.4,29.6,36.0,14.0,NA,NA,32
C4-2012-09-08,74.2,32.3,76.0,14.4,15.0,21.0,41
F7-2017-09-30,91.2,33.3,136.0,14.1,52.0,63.0,59
H9-2014-09-06,NA,NA,NA,NA,NA,NA,17
A4-2012-10-08,78.3,32.0,158.0,15.7,55.0,69.0,68
D5-2012-10-12,83.7,NA,NA,NA,NA,NA,53
E17-2012-09-01,17.0,NA,NA,NA,NA,NA,9
C5-2012-10-23,63.8,30.8,123.0,14.3,37.0,47.0,74
F11-2017-08-31,59.8,25.2,31.0,14.1,NA,NA,20
C3-2012-09-11,81.0,31.3,84.0,14.5,22.0,25.0,43
A9-2017-09-19,NA,NA,NA,NA,NA,NA,26
FA-2012-09-11,37.1,NA,NA,NA,NA,NA,15
D10-2015-10-23,67.9,30.6,83.0,15.1,31.0,35.0,48
C3-2012-10-14,62.6,31.5,172.0,15.0,57.0,84.0,76
B6-2012-09-16,61.6,NA,NA,NA,NA,NA,23
D9-2015-10-27,86.1,33.7,179.0,15.9,60.0,85.0,82
F9-2014-09-15,51.9,NA,NA,NA,NA,NA,28
G7-2014-09-17,55.1,32.2,81.5,15.0,30.0,34.0,47
C8-2014-09-04,34.6,NA,NA,NA,NA,NA,17
H8-2016-10-21,83.4,33.0,169.0,15.4,55.0,71.0,70
FZ-2013-08-31,51.5,25.3,28.0,12.8,NA,NA,23
F14-2014-08-24,83.0,30.8,51.0,14.0,8.0,8.0,32
FA-2012-11-06,95.1,33.0,154.0,15.5,57.0,73.0,71
H6-2013-09-10,71.1,30.1,51.0,13.7,NA,NA,34
D11-2013-10-09,83.7,32.4,134.0,15.2,49.0,59.0,62
E14-2014-09-30,81.6,NA,NA,NA,NA,NA,35
E22-2017-10-18,77.6,34.8,171.0,16.3,58.0,80.0,72
F12-2014-11-07,59.9,31.8,152.0,15.2,53.5,72.5,84
A9-2015-09-12,49.6,28.9,54.5,14.4,NA,NA,32
G13-2014-09-29,76.1,31.8,104.0,15.6,44.0,45.0,51
C4-2014-09-01,73.0,32.2,63.0,14.6,14.0,NA,37
B13-2012-09-15,69.5,NA,NA,NA,NA,NA,24
D5-2012-10-02,80.6,30.8,63.0,14.5,14.0,17.0,43
C8-2014-09-06,NA,NA,NA,NA,NA,NA,19
D13-2014-08-31,33.9,18.7,17.5,10.9,NA,NA,13
A6-2014-10-17,41.5,30.1,83.5,14.4,32.0,38.0,67
D4-2015-09-17,41.9,19.4,20.5,11.6,NA,NA,18
B12-2012-09-06,48.5,20.1,22.0,11.3,NA,NA,16
FD-2015-09-18,38.5,20.1,22.0,11.0,NA,NA,16
FZ-2014-10-17,82.0,32.5,166.5,15.5,61.5,81.0,72
D2-2012-09-06,37.5,24.0,27.0,12.5,NA,NA,24
D5-2014-10-06,NA,NA,NA,NA,NA,NA,44
H9-2014-09-01,23.2,NA,NA,NA,NA,NA,12
B6-2012-08-31,16.9,14.3,13.0,8.6,NA,NA,7
C7-2014-09-28,79.5,33.4,162.5,15.0,54.0,74.5,69
F19-2012-09-16,83.8,34.0,117.0,15.2,41.0,48.0,58
D6-2017-08-29,75.5,29.9,38.0,14.7,NA,NA,31
B1-2014-08-31,56.2,26.8,35.0,13.0,NA,NA,24
G2-2013-08-31,59.9,20.6,35.0,12.3,NA,NA,17
E14-2012-10-16,NA,NA,NA,NA,NA,NA,58
C7-2012-08-24,37.4,21.5,24.0,11.5,NA,NA,17
F12-2014-11-04,67.3,31.7,144.0,15.1,51.5,66.0,81
A4-2012-09-17,81.9,32.0,87.0,15.5,28.0,28.0,47
C1-2016-09-26,73.5,31.2,106.0,15.2,40.0,44.0,53
D13-2014-10-11,60.5,NA,NA,NA,NA,NA,54
D6-2012-10-28,81.2,NA,NA,NA,NA,NA,71
A11-2012-10-20,86.4,33.0,155.0,15.6,59.0,70.0,73
B13-2014-10-04,84.8,32.1,59.0,14.9,14.0,14.0,37
E16-2017-09-30,69.6,27.4,40.0,12.5,NA,NA,26
A11-2014-10-03,80.1,32.3,114.0,15.0,44.0,48.5,57
H5-2017-10-09,64.0,33.3,138.0,15.7,50.0,68.0,62
D8-2017-09-30,89.2,34.9,125.0,16.0,51.0,57.0,57
C5-2017-09-22,88.6,32.6,93.0,16.1,31.0,35.0,46
E14-2012-09-12,59.5,NA,NA,NA,NA,NA,24
H2-2013-09-04,33.7,18.0,19.0,11.4,NA,NA,12
D6-2017-09-05,73.4,33.5,66.0,14.3,NA,NA,38
A2-2014-09-21,70.5,33.7,133.5,15.5,52.5,65.0,69
A11-2014-09-24,66.7,31.5,87.5,15.0,30.0,31.0,48
D3-2014-09-28,89.3,31.3,86.0,14.5,31.0,36.0,49
E14-2014-11-06,83.5,34.1,153.5,15.6,56.0,76.0,72
D7-2014-11-04,65.0,32.2,172.5,15.3,59.0,81.0,85
A9-2014-10-02,38.8,28.9,45.0,13.5,NA,NA,43
H4-2014-10-14,79.5,32.1,145.0,16.0,57.0,73.5,65
C9-2012-09-14,88.2,32.4,81.0,15.3,23.0,21.0,40
FA-2012-10-25,90.8,33.0,104.0,15.5,37.0,43.0,59
F19-2015-10-29,77.5,33.8,176.0,14.5,61.0,83.0,75
C13-2015-09-02,42.2,17.44,17.0,10.9,NA,NA,9
H9-2014-10-22,78.7,NA,NA,NA,NA,NA,63
F6-2015-10-09,59.8,30.0,52.0,14.2,15.0,10.0,39
A7-2016-10-29,72.8,33.0,152.0,14.8,56.0,94.0,67
H9-2014-10-10,66.7,NA,NA,NA,NA,NA,51
H9-2014-09-13,50.4,NA,NA,NA,NA,NA,24
C5-2012-10-08,67.7,30.6,90.0,14.0,21.0,27.0,59
G9-2014-10-17,66.8,31.7,102.5,15.0,33.0,36.0,66
A3-2012-08-23,15.3,NA,NA,NA,NA,NA,5
